id,lang,title,path,main_topic_number,main_topic_dir,subtopic_number,subtopic_dir,slug,review_status,translation_status,source_count,opened_at,canonical
LAP-03-05,hu,Begriff QR-Code,03_Betreuung_von_mobiler_Hardware/05_Begriff_QR_Code/README.md,03,03_Betreuung_von_mobiler_Hardware,05,05_Begriff_QR_Code,03-05-begriff_qr_code,draft,de_complete,3,2026-04-08,True
LAP-03-06,hu,Geschlossene Systeme und App Store,03_Betreuung_von_mobiler_Hardware/06_Geschlossene_Systeme_und_App_Store/README.md,03,03_Betreuung_von_mobiler_Hardware,06,06_Geschlossene_Systeme_und_App_Store,03-06-geschlossene_systeme_und_app_store,draft,de_complete,5,2026-04-08,True
LAP-04-01,hu,Aufgabe und Strukturierung von Testläufen,04_Technische_Dokumentation_Projektarbeit_Schulungen/01_Aufgabe_und_Strukturierung_von_Testlaeufen/README.md,04,04_Technische_Dokumentation_Projektarbeit_Schulungen,01,01_Aufgabe_und_Strukturierung_von_Testlaeufen,04-01-aufgabe_und_strukturierung_von_testlaeufen,draft,de_complete,3,2026-04-08,True
LAP-04-02,hu,Protokollieren technischer Arbeiten,04_Technische_Dokumentation_Projektarbeit_Schulungen/02_Protokollieren_technischer_Arbeiten/README.md,04,04_Technische_Dokumentation_Projektarbeit_Schulungen,02,02_Protokollieren_technischer_Arbeiten,04-02-protokollieren_technischer_arbeiten,draft,de_complete,3,2026-04-08,True
LAP-04-03,hu,Inhalt einer technischen Dokumentation,04_Technische_Dokumentation_Projektarbeit_Schulungen/03_Inhalt_technischer_Dokumentation/README.md,04,04_Technische_Dokumentation_Projektarbeit_Schulungen,03,03_Inhalt_technischer_Dokumentation,04-03-inhalt_technischer_dokumentation,draft,de_complete,3,2026-04-08,True
LAP-04-04,hu,Aufbereitung technischer Dokumentation,04_Technische_Dokumentation_Projektarbeit_Schulungen/04_Aufbereitung_technischer_Dokumentation/README.md,04,04_Technische_Dokumentation_Projektarbeit_Schulungen,04,04_Aufbereitung_technischer_Dokumentation,04-04-aufbereitung_technischer_dokumentation,draft,de_complete,3,2026-04-08,True
LAP-04-05,hu,Roll-out Ablauf und Prozessschritte,04_Technische_Dokumentation_Projektarbeit_Schulungen/05_Rollout_Ablauf_und_Prozessschritte/README.md,04,04_Technische_Dokumentation_Projektarbeit_Schulungen,05,05_Rollout_Ablauf_und_Prozessschritte,04-05-rollout_ablauf_und_prozessschritte,draft,de_complete,4,2026-04-08,True
LAP-04-06,hu,Gestaltung und Vorbereitung von Präsentationen,04_Technische_Dokumentation_Projektarbeit_Schulungen/06_Gestaltung_und_Vorbereitung_von_Praesentationen/README.md,04,04_Technische_Dokumentation_Projektarbeit_Schulungen,06,06_Gestaltung_und_Vorbereitung_von_Praesentationen,04-06-gestaltung_und_vorbereitung_von_praesentationen,draft,de_complete,3,2026-04-08,True
LAP-05-01,hu,DSGVO Grundlagen,05_Gesetzliche_Bestimmungen/01_DSGVO_Grundlagen/README.md,05,05_Gesetzliche_Bestimmungen,01,01_DSGVO_Grundlagen,05-01-dsgvo_grundlagen,draft,de_complete,4,2026-04-08,True
LAP-05-02,hu,Datenminimierung,05_Gesetzliche_Bestimmungen/02_Datenminimierung/README.md,05,05_Gesetzliche_Bestimmungen,02,02_Datenminimierung,05-02-datenminimierung,draft,de_complete,3,2026-04-08,True
LAP-05-03,hu,"Betroffene Personen, Verantwortlicher, Auftragsverarbeiter",05_Gesetzliche_Bestimmungen/03_Betroffene_Verantwortlicher_Auftragsverarbeiter/README.md,05,05_Gesetzliche_Bestimmungen,03,03_Betroffene_Verantwortlicher_Auftragsverarbeiter,05-03-betroffene_verantwortlicher_auftragsverarbeiter,draft,de_complete,4,2026-04-08,True
LAP-05-04,hu,Rechte betroffener Personen,05_Gesetzliche_Bestimmungen/04_Rechte_betroffener_Personen/README.md,05,05_Gesetzliche_Bestimmungen,04,04_Rechte_betroffener_Personen,05-04-rechte_betroffener_personen,draft,de_complete,3,2026-04-08,True
LAP-05-05,hu,Personenbezogene und sensible Daten,05_Gesetzliche_Bestimmungen/05_Personenbezogene_und_sensible_Daten/README.md,05,05_Gesetzliche_Bestimmungen,05,05_Personenbezogene_und_sensible_Daten,05-05-personenbezogene_und_sensible_daten,draft,de_complete,4,2026-04-08,True
LAP-05-06,hu,Kopplungsverbot,05_Gesetzliche_Bestimmungen/06_Kopplungsverbot/README.md,05,05_Gesetzliche_Bestimmungen,06,06_Kopplungsverbot,05-06-kopplungsverbot,draft,de_complete,3,2026-04-08,True
LAP-05-07,hu,Datenschutzbeauftragter,05_Gesetzliche_Bestimmungen/07_Datenschutzbeauftragter/README.md,05,05_Gesetzliche_Bestimmungen,07,07_Datenschutzbeauftragter,05-07-datenschutzbeauftragter,draft,de_complete,4,2026-04-08,True
LAP-05-08,hu,Pflichten bei Datendiebstahl,05_Gesetzliche_Bestimmungen/08_Pflichten_bei_Datendiebstahl/README.md,05,05_Gesetzliche_Bestimmungen,08,08_Pflichten_bei_Datendiebstahl,05-08-pflichten_bei_datendiebstahl,draft,de_complete,4,2026-04-08,True
LAP-05-09,hu,Urheberrecht Grundbegriffe,05_Gesetzliche_Bestimmungen/09_Urheberrecht_Grundbegriffe/README.md,05,05_Gesetzliche_Bestimmungen,09,09_Urheberrecht_Grundbegriffe,05-09-urheberrecht_grundbegriffe,draft,de_complete,3,2026-04-08,True
LAP-05-10,hu,Gewaehrleistung und Garantie,05_Gesetzliche_Bestimmungen/10_Gewaehrleistung_und_Garantie/README.md,05,05_Gesetzliche_Bestimmungen,10,10_Gewaehrleistung_und_Garantie,05-10-gewaehrleistung_und_garantie,draft,de_complete,3,2026-04-08,True
LAP-05-11,hu,Entsorgung von Elektronikschrott,05_Gesetzliche_Bestimmungen/11_Entsorgung_von_Elektronikschrott/README.md,05,05_Gesetzliche_Bestimmungen,11,11_Entsorgung_von_Elektronikschrott,05-11-entsorgung_von_elektronikschrott,draft,de_complete,4,2026-04-08,True
LAP-05-12,hu,E_Commerce Gesetz,05_Gesetzliche_Bestimmungen/12_E_Commerce_Gesetz/README.md,05,05_Gesetzliche_Bestimmungen,12,12_E_Commerce_Gesetz,05-12-e_commerce_gesetz,draft,de_complete,4,2026-04-08,True
LAP-05-13,hu,Telekom Gesetz,05_Gesetzliche_Bestimmungen/13_Telekom_Gesetz/README.md,05,05_Gesetzliche_Bestimmungen,13,13_Telekom_Gesetz,05-13-telekom_gesetz,draft,de_complete,4,2026-04-08,True
LAP-05-14,hu,Impressumspflicht,05_Gesetzliche_Bestimmungen/14_Impressumspflicht/README.md,05,05_Gesetzliche_Bestimmungen,14,14_Impressumspflicht,05-14-impressumspflicht,draft,de_complete,3,2026-04-08,True
LAP-05-15,hu,Pflichtangaben im E_Mail_Verkehr,05_Gesetzliche_Bestimmungen/15_Pflichtangaben_im_E_Mail_Verkehr/README.md,05,05_Gesetzliche_Bestimmungen,15,15_Pflichtangaben_im_E_Mail_Verkehr,05-15-pflichtangaben_im_e_mail_verkehr,draft,de_complete,5,2026-04-08,True
LAP-05-16,hu,Bildschirmpausen,05_Gesetzliche_Bestimmungen/16_Bildschirmpausen/README.md,05,05_Gesetzliche_Bestimmungen,16,16_Bildschirmpausen,05-16-bildschirmpausen,draft,de_complete,3,2026-04-08,True
LAP-06-01,hu,Domain Subdomain Top Level Domain,06_Netzwerkdienste/01_Domain_Subdomain_Top_Level_Domain/README.md,06,06_Netzwerkdienste,01,01_Domain_Subdomain_Top_Level_Domain,06-01-domain_subdomain_top_level_domain,draft,de_complete,5,2026-04-08,True
LAP-06-02,hu,HTTP und HTTPS,06_Netzwerkdienste/02_HTTP_und_HTTPS/README.md,06,06_Netzwerkdienste,02,02_HTTP_und_HTTPS,06-02-http_und_https,draft,de_complete,6,2026-04-08,True
LAP-06-03,hu,Funktionsprinzip Mail Server,06_Netzwerkdienste/03_Funktionsprinzip_Mail_Server/README.md,06,06_Netzwerkdienste,03,03_Funktionsprinzip_Mail_Server,06-03-funktionsprinzip_mail_server,draft,de_complete,4,2026-04-08,True
LAP-06-04,hu,POP3 und POP3S,06_Netzwerkdienste/04_POP3_und_POP3S/README.md,06,06_Netzwerkdienste,04,04_POP3_und_POP3S,06-04-pop3_und_pop3s,draft,de_complete,3,2026-04-08,True
LAP-06-05,hu,IMAP und IMAPS,06_Netzwerkdienste/05_IMAP_und_IMAPS/README.md,06,06_Netzwerkdienste,05,05_IMAP_und_IMAPS,06-05-imap_und_imaps,draft,de_complete,3,2026-04-08,True
LAP-06-06,hu,SMTP und SMTPS,06_Netzwerkdienste/06_SMTP_und_SMTPS/README.md,06,06_Netzwerkdienste,06,06_SMTP_und_SMTPS,06-06-smtp_und_smtps,draft,de_complete,4,2026-04-08,True
LAP-06-07,hu,FTP und FTPS,06_Netzwerkdienste/07_FTP_und_FTPS/README.md,06,06_Netzwerkdienste,07,07_FTP_und_FTPS,06-07-ftp_und_ftps,draft,de_complete,4,2026-04-08,True
LAP-06-08,hu,SSL,06_Netzwerkdienste/08_SSL/README.md,06,06_Netzwerkdienste,08,08_SSL,06-08-ssl,draft,de_complete,4,2026-04-08,True
LAP-06-09,hu,Cloud Computing,06_Netzwerkdienste/09_Cloud_Computing/README.md,06,06_Netzwerkdienste,09,09_Cloud_Computing,06-09-cloud_computing,draft,de_complete,3,2026-04-08,True
LAP-06-10,hu,Private Public Hybrid Cloud,06_Netzwerkdienste/10_Private_Public_Hybrid_Cloud/README.md,06,06_Netzwerkdienste,10,10_Private_Public_Hybrid_Cloud,06-10-private_public_hybrid_cloud,draft,de_complete,4,2026-04-08,True
LAP-06-11,hu,IaaS PaaS SaaS,06_Netzwerkdienste/11_IaaS_PaaS_SaaS/README.md,06,06_Netzwerkdienste,11,11_IaaS_PaaS_SaaS,06-11-iaas_paas_saas,draft,de_complete,3,2026-04-08,True
LAP-06-12,hu,Bekannte Cloud Dienste,06_Netzwerkdienste/12_Bekannte_Cloud_Dienste/README.md,06,06_Netzwerkdienste,12,12_Bekannte_Cloud_Dienste,06-12-bekannte_cloud_dienste,draft,de_complete,7,2026-04-08,True
LAP-06-13,hu,Kriterien fuer Cloud Dienste,06_Netzwerkdienste/13_Kriterien_fuer_Cloud_Dienste/README.md,06,06_Netzwerkdienste,13,13_Kriterien_fuer_Cloud_Dienste,06-13-kriterien_fuer_cloud_dienste,draft,de_complete,5,2026-04-08,True
